Scenario,Attack Level,Model,VM_RMSE (pu),VA_RMSE (deg)
Bad Data 0% (10σ),0.000000,WLS,0.640925,97.380079
Bad Data 0% (10σ),0.000000,pgr,0.012332,2.521585
Bad Data 0% (10σ),0.000000,tagru,0.015457,47.413989
Clean,0.000000,WLS,0.796685,97.499031
Clean,0.000000,pgr,0.012332,2.521585
Clean,0.000000,tagru,0.015457,47.413989
Missing 0%,0.000000,WLS,0.611151,96.432037
Missing 0%,0.000000,pgr,0.012332,2.521585
Missing 0%,0.000000,tagru,0.015457,47.413989
Bad Data 5% (10σ),0.050000,WLS,0.676348,97.516528
Bad Data 5% (10σ),0.050000,pgr,0.012339,2.589989
Bad Data 5% (10σ),0.050000,tagru,0.015477,47.324243
Bad Data 10% (10σ),0.100000,WLS,0.788347,96.131905
Bad Data 10% (10σ),0.100000,pgr,0.012323,2.670329
Bad Data 10% (10σ),0.100000,tagru,0.015503,47.256308
Bad Data 15% (10σ),0.150000,WLS,0.677841,97.508649
Bad Data 15% (10σ),0.150000,pgr,0.012371,2.742825
Bad Data 15% (10σ),0.150000,tagru,0.015527,47.179319
Missing 20%,0.200000,WLS,,
Missing 20%,0.200000,pgr,,
Missing 20%,0.200000,tagru,,
Missing 30%,0.300000,WLS,,
Missing 30%,0.300000,pgr,,
Missing 30%,0.300000,tagru,,
Missing 50%,0.500000,WLS,,
Missing 50%,0.500000,pgr,,
Missing 50%,0.500000,tagru,,
